Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,CO,80840*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80841*,*,5.1300,U S A F ACADEMY,1,1,0,
US,CO,80860*,*,6.9000,VICTOR,1,1,0,
US,CO,80861*,*,2.9000,VONA,1,1,0,
US,CO,80862*,*,2.9000,WILD HORSE,1,1,0,
US,CO,80863*,*,7.9900,WOODLAND PARK,1,1,0,
US,CO,80864*,*,5.1300,YODER,1,1,0,
US,CO,80866*,*,7.9900,WOODLAND PARK,1,1,0,
US,CO,80901*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80902*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80903*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80904*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80905*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80906*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80907*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80908*,*,5.1300,BLACK FOREST,1,1,0,
US,CO,80909*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80910*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80911*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80912*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80913*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80914*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80915*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80916*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80917*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80918*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80919*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80920*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80921*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80922*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80923*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80924*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80925*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80926*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80927*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80928*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80929*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80930*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80931*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80932*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80933*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80934*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80935*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80936*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80937*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80938*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80939*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80941*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80942*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80946*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80947*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80949*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80950*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80951*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80960*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80962*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80970*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80977*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80995*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,80997*,*,8.2000,COLORADO SPRINGS,1,1,0,
US,CO,81001*,*,7.6000,PUEBLO,1,1,0,
US,CO,81002*,*,7.6000,PUEBLO,1,1,0,
US,CO,81003*,*,7.6000,PUEBLO,1,1,0,
US,CO,81004*,*,7.6000,PUEBLO,1,1,0,
US,CO,81005*,*,7.6000,PUEBLO,1,1,0,
US,CO,81006*,*,7.6000,PUEBLO,1,1,0,
US,CO,81007*,*,7.6000,PUEBLO,1,1,0,
US,CO,81008*,*,7.8800,FOUNTAIN,1,1,0,
US,CO,81009*,*,7.6000,PUEBLO,1,1,0,
US,CO,81010*,*,7.6000,PUEBLO,1,1,0,
US,CO,81011*,*,7.6000,PUEBLO,1,1,0,
US,CO,81012*,*,7.6000,PUEBLO,1,1,0,
US,CO,81019*,*,3.9000,COLORADO CITY,1,1,0,
US,CO,81020*,*,7.4000,AGUILAR,1,1,0,
US,CO,81021*,*,2.9000,ARLINGTON,1,1,0,
US,CO,81022*,*,3.9000,AVONDALE,1,1,0,
US,CO,81023*,*,3.9000,BEULAH,1,1,0,
US,CO,81024*,*,4.4000,BONCARBO,1,1,0,
US,CO,81025*,*,3.9000,BOONE,1,1,0,
US,CO,81027*,*,4.4000,BRANSON,1,1,0,
US,CO,81029*,*,2.9000,CAMPO,1,1,0,
US,CO,81030*,*,3.9000,CHERAW,1,1,0,
US,CO,81033*,*,4.9000,CROWLEY,1,1,0,
US,CO,81034*,*,4.9000,CROWLEY,1,1,0,
US,CO,81036*,*,2.9000,BRANDON,1,1,0,
US,CO,81038*,*,3.9000,FORT LYON,1,1,0,
US,CO,81039*,*,3.9000,BOONE,1,1,0,
US,CO,81040*,*,5.9000,GARDNER,1,1,0,
